Photo,Buyer's Code,Description,Article Nr.,REMARK,CUSHION,GLASS / MIRROR,UOM,W,D,H,SW,SH,SD,AH,Weight Capacity (Kg/Lt),MATERIALS,FINISHING COLOR OF ITEM,WEAVING COMPOSITION,USD SELLING PRICE,PACKING DIMENTION (CM),NW (KG),GW (KG),CBM,ACCESSORIES,PICTURE OF ACCESSORIES,LEATHER,PICTURE OF LEATHER,FINISHING STEPS,FINISHING COLOR OF ITEM,HARGA SUPPLIER / BASKETS
,,GRETA CHAIR,2531030,,"YES
Seat: 53x57x8 cm (Foam, cp 7x7 cream)
Back: 50x12x45 cm (Dacron, cp 7x7 cream)",,CM,76,73.5,83,,,,,100 Kg,"Rattan 1/2 polesh, rattan kubu grey",Natural grey,,95,79x76x86 cm,10.80,11.50,0.52,,,,,,,
,,WILLA UMBRELLA STORAGE,2533047,,,,CM,45,30,50,,,,,,"Rattan kubu grey, leather",Natural Grey,,35,48x33x53 cm,1.53,2.00,0.08,,,,,,,
,,ONION BASKET,2533048,,,,CM,25.5,14.5,30,,,,,1 Kg,"Rattan core, rattan slimit grey",Natural Grey,,25,27x17x33 cm,0.44,1.00,0.02,,,,,,,
,,HOMEA DECO,2535057,,,,CM,26,19,23,,,,,1 Kg,Rattan slimit grey,Natural Grey,,12,29x22x26 cm,0.65,1.00,0.02,,,,,,,
,,RACK SHOES,2535058,,,,CM,90,50.5,46,,,,,,"Rattan 1/2 polish, rattan kubu grey",Natural Grey,,75,98x53x49 cm,7.83,8.50,0.25,,,,,,,
,,MANAR LANTERN SET OF 2,2534016,S: 17x17x16 cm,,"L: 9x9x15 cm
S: 8,5x8,5x9 cm",CM,21.00,21.00,20.50,,,,,,"Rattan slimit grey, glass",Natural Grey,,19,24x24x23 cm,0.35,1.50,0.01,,,,,,,
,,ALINA BENCH AND STORAGE,2531037,,"Cp 7x7 Cream
Foam
Removable",,CM,71,41,51,,,,,100 Kg,"Rattan 1/2 polesh, rattan kubu grey, plywood, leather Dark brown",Natural Grey,,61.75,74x44x54 cm,8.50,9.50,0.18,,,,,,,
,,MILLY HANGING BASKET,2533056,,,,CM,17.5,14,26,,,,,3 Kg,Rattan slimit grey,Natural Grey,,15,20x17x29 cm,0.27,0.80,0.01,,,,,,,
,,FLOWI BASKET SET OF 2,2533057,"S: 28x28x9,5 cm",,,CM,30,30,10.5,,,,,3 Kg,"Rattan Kubu Grey, Rattan lassio antique grey",Natural Grey,,26,33x33x13 cm,0.90,1.50,0.01,,,,,,,
,,FLOWER HANGING LAMP,2534017,"NO ELECTRICITY
",,,CM,25.5,25.5,20.5,,,,,,"Iron frame, Rattan slimit grey",Natural Grey,,19,28x28x23 cm,0.67,1.20,0.02,,,,,,,
,,EMMA BASKET SET OF 2,2533058,S: 22x17x16 cm,,,CM,27.5,30,24,,,,,3 Kg,"Rattan slimit Grey, Synthetic leather",Natural Grey,,25,30x24x24 cm,1.50,2.10,0.02,,,,,,,
,,TRIANGLE TRAY,2533059,,,,CM,40,21,5.5,,,,,5 Kg,"Iron frame, rattan slimit grey",Natural Grey,,12,43x24x8 cm,0.30,0.70,0.01,,,,,,,
